Index,Name,Volume,Census isosig,Method,Time,Final isosig,Genus,Tetrahedra,Census fundamental group rank,Homology rank,Haken
547,m261(-3 2),3.4543139174920300,nLLLLLwQQkbcgihkkikmlmlmtsmbcxhkhhffnr,Vertex,0.93,nLLLLLwQQkbcgihkkikmlmlmtsmbcxhkhhffnr,2,13,2,1,FALSE
548,m180(-5 3),3.4572185324752900,nLLvLPQPPkceghihkklljlmmtplgvspaumnuwk,Vertex,3.187,nLLvLPQPPkceghihkklljlmmtplgvspaumnuwk,2,13,2,1,FALSE
549,m220(-3 2),3.4594860822931900,nLLLLwPMQkbcghglikklmlkmtsmsstwdpqssbk,Vertex,2.479,nLLLLwPMQkbcghglikklmlkmtsmsstwdpqssbk,2,13,2,1,FALSE
550,m221(3 2),3.4594860822931900,nLLLLvQPQkbdfghlhjjkmmlmdwqwoasihdnbnf,Vertex,1.868,nLLLLvQPQkbdfghlhjjkmmlmdwqwoasihdnbnf,2,13,2,1,FALSE
551,m188(-3 2),3.4599411939890700,nLLvLLQPQkacghliilmkmmkljkjatlurjcgkkj,Vertex,1.91,nLLvLLQPQkacghliilmkmmkljkjatlurjcgkkj,2,13,2,1,TRUE
552,s118(-5 1),3.4606758474817800,nLLLwAzMQkcdgeiihlkmmklmhsheqenmvjonwb,Gadget and cliques,101.584,nLLLwAzMQkcdgeiihlkmmklmhsheqenmvjonwb,2,13,2,1,FALSE
553,s119(5 1),3.4606758474817800,nLLLLvPQQkcdghgljlklmmkmhshrfxpadaewwk,Vertex,0.282,nLLLLvPQQkcdghgljlklmmkmhshrfxpadaewwk,2,13,2,1,FALSE
554,m206(5 1),3.4606758474817800,nLLvMzLQQkbegfjmiilkklmmhhhahhofqqggwr,Vertex,568.162,nLLvMzLQQkbegfjmiilkklmmhhhahhofqqggwr,3,13,3,2,FALSE
555,s119(-5 1),3.4606758474817800,qLALvPLQLMPkcbbejhilkjmnnpoppqqnnhobuperqhhfwr,Vertex,1.197,nLLLwzPMQkcdgeihlljkkmmmhsheenxlnvfrkr,2,16,2,1,FALSE
556,s118(5 1),3.4606758474817800,pLLLLzLPQAQbegfjmlnmkmlloooxxqxxqahqxaknhha,Gadget and cliques,282.621,pLLLLzLPQAQbegfjmlnmkmlloooxxqxxqahqxaknhha,2,15,2,1,FALSE
557,m370(1 2),3.4606758474817800,oLLLvPPLQQccdehkjkinmmnlnmhftvpatjaxwsjws,Gadget and cliques,6488.488,nLLvLwPQQkcdjfiklkimjmlmqkwkctupfqstfk,2,14,2,1,FALSE
558,m275(3 2),3.4606758474817800,nLvLALQLQkaegfhikkjlmllmjxgvkalpsrgbwr,Vertex,1075.297,nLvLALQLQkaegfhikkjlmllmjxgvkalpsrgbwr,2,13,2,1,FALSE
559,m293(-3 1),3.4644088172895800,oLvLvAAMQQcbggkiijkllmnmnntmgjvonspeilqrs,Vertex,0.867,nLLLLAzAQkbegffhilkkmllmxxqxkkohlovgvs,2,14,2,1,FALSE
560,m190(5 2),3.4650164233758400,nLLLzLQzQkcdgegjijkkmllmhshdchapanxwkk,Vertex,0.671,nLLLzLQzQkcdgegjijkkmllmhshdchapanxwkk,2,13,2,1,FALSE
561,m262(-2 3),3.4651364971225000,nLLvLLPQQkcdjihjkikllkmmhssvrshshpdmjs,Vertex,920.122,nLLvLLPQQkcdjihjkikllkmmhssvrshshpdmjs,2,13,2,2,FALSE
562,m188(5 2),3.4660540660857500,nLLLvMMMQkacfjkijkjmllmmjkgutdxerdsfqe,Vertex,1.315,nLLLvMMMQkacfjkijkjmllmmjkgutdxerdsfqe,2,13,2,1,TRUE
563,m223(-3 2),3.4718338041148600,nLLLPzzAQkacfegihkjklmmmjkgvwtewgvtecv,Vertex,910.847,nLLLPzzAQkacfegihkjklmmmjkgvwtewgvtecv,2,13,2,1,FALSE
564,m195(1 3),3.4730550787835800,pLLLLLPMQPPcdgihiikjmllnmoohshsvssiufvfpnxr,Vertex,0.857,oLLLzLQzQPccdgegjijkkmlnmnhshdchapanhrhsk,2,15,2,1,FALSE
565,m337(-3 1),3.4742477613127400,nLLPvMwPQkacefgjikmmkllmnkxwpqctulumww,Vertex,0.395,nLLPvMwPQkacefgjikmmkllmnkxwpqctulumww,2,13,2,1,FALSE
566,s117(-5 1),3.4742477613127400,oLLLLMLQPPccdghfjlkllmjnnnhshwwhhmqqxwhdl,Vertex,1.066,oLLLLMLQPPccdghfjlkllmjnnnhshwwhhmqqxwhdl,2,14,2,1,FALSE
567,m275(-3 2),3.4742477613127400,nLLvLAAAQkcdifjiikljmlmmhswwncwuagdssk,Vertex,1071.829,nLLvLAAAQkcdifjiikljmlmmhswwncwuagdssk,2,13,2,1,FALSE
568,m206(1 3),3.4742477613127400,nLLvLAAQMkcdjihhgklkklmmhsffvvnmuxalbw,Gadget and cliques,8334.821,nLLvLAAQMkcdjihhgklkklmmhsffvvnmuxalbw,2,13,2,1,FALSE
569,m338(-3 1),3.4742477613127400,nLLPvMvQQkacefhjimllkmlmnkxrpxniaxtdrs,Vertex,0.436,nLLPvMvQQkacefhjimllkmlmnkxrpxniaxtdrs,2,13,2,1,FALSE
570,s118(-1 3),3.4742477613127400,oLLLLLMQzQccdgfhkljllmnknnhshnvxhpqqxqkti,Vertex,1.303,oLLLLLMQzQccdgfhkljllmnknnhshnvxhpqqxqkti,2,14,2,1,FALSE
571,m286(4 1),3.4743162875719800,oLLvLAMAAQccdjifkkhilmlnnnhskssxmnrmdskng,Gadget and cliques,12604.178,oLLvLAMAAQccdjifkkhilmlnnnhskssxmnrmdskng,2,14,2,2,FALSE
572,m185(4 1),3.4749198475441000,oLLvvMQMQMcacihlllkkmkmmnnjkaatqdxjvknvqn,Vertex,1040.922,oLLvvMQMQMcacihlllkkmkmmnnjkaatqdxjvknvqn,2,14,2,1,FALSE
573,m188(-2 3),3.4759195042145500,nLLLvMPPQkacfhkhjlmmjklmjkgqtlxfjkrnon,Vertex,911.311,nLLLvMPPQkacfhkhjlmmjklmjkgqtlxfjkrnon,2,13,2,2,TRUE
574,m223(5 1),3.4763756733918100,oLLLzAwQMMccdfeihhkklklmnnqceqqvktvnbvixj,Vertex,0.316,nLLLvLAQQkcdghkjikljmmlmhshvqawpeligro,2,14,2,1,FALSE
575,m232(4 1),3.4796687456946300,oLLvALPPQMcbegfjlkjkjmklnnhhhqahxqxqaawxr,Vertex,3.426,oLLvALPPQMcbegfjlkjkjmklnnhhhqahxqxqaawxr,2,14,2,1,FALSE
576,m196(-1 4),3.4821189931144500,oLLLALzPQMcbeggfikjmjlllnnhhxhxahaknkofxr,Vertex,919.237,oLLLALzPQMcbeggfikjmjlllnnhhxhxahaknkofxr,2,14,2,1,FALSE
577,m196(1 4),3.4823427648937500,pLAvvMLAMQQcbbhjhminmmoonnoqqnajshshdgfooss,Vertex,0.883,oLLvMQzPMPcacfgihhjjklmnmnnkfjiuaankhxhrn,2,15,2,1,FALSE
578,m188(5 1),3.4861652457274100,pLLzvLMQwQQcdckjilijimoonnohsnaxpammqoupiuc,Vertex,1037.375,oLLLLvQLQQcbegfkijkllknnmnxxixqwxxexrjgnn,2,15,2,1,TRUE
579,m184(5 3),3.4872445710186800,oLLLLzLPQQccegehmjnkmkmllnqpqqvqqxiarknjn,Vertex,0.582,nLLLLvMQQkcdghihlljmlkkmhshoroxaamcwrr,2,14,2,1,FALSE
580,m210(-2 3),3.4902594589796100,nLLLvMMQPkbeghjiilklkmlmxxmjrwwmdqhqnk,Vertex,1.003,nLLLvMMQPkbeghjiilklkmlmxxmjrwwmdqhqnk,2,13,2,1,FALSE
581,m410(3 1),3.4906509546718700,nLLvLQzPQkcdgjfiklmlklmmhsgosvqhdidpmf,Vertex,387.748,nLLvLQzPQkcdgjfiklmlklmmhsgosvqhdidpmf,3,13,3,1,FALSE
582,s784(-2 1),3.4933789354984200,nvLLLzMQQkegfhijkikllmmmgulpcvgcwfgiie,Vertex,348.097,nvLLLzMQQkegfhijkikllmmmgulpcvgcwfgiie,3,13,3,2,FALSE
583,m199(5 2),3.4966424543676000,oLLLLwzAQQccdgfhllknmnlmknhshosiqqpawfwnw,Vertex,11.203,oLLLLwzAQQccdgfhllknmnlmknhshosiqqpawfwnw,2,14,2,1,FALSE
584,m190(1 4),3.4980336466799600,oLvLALQPPPcaeghhkiijkmlnmnnxgkkuqtawhcqjn,Vertex,1.578,oLvLALQPPPcaeghhkiijkmlnmnnxgkkuqtawhcqjn,2,14,2,1,FALSE
585,m235(-3 2),3.4982684104529200,nLLvLLMQQkcdgllmhkijlkmmhsgpuenhfjpdlv,Vertex,383.518,nLLvLLMQQkcdgllmhkijlkmmhsgpuenhfjpdlv,3,13,3,2,FALSE
586,m234(-4 1),3.4985945738961100,oLLLvPAAQMccdgihkjkllklmnnhshrvttdqidgwqn,Vertex,688.537,oLLLvPAAQMccdgihkjkllklmnnhshrvttdqidgwqn,3,14,3,2,FALSE
587,m190(5 1),3.5010675797796000,oLLLzLQzQMccdgegjijkkmllnnhshdchapanxwkxr,Vertex,0.553,oLLLzLQzQMccdgegjijkkmllnnhshdchapanxwkxr,2,14,2,1,FALSE
588,m190(-4 1),3.5012225705072900,pLAvLPvQAQPbcbgjiimklkmlnoohhjhwvvuqqpwnnqn,Vertex,4.086,pLAvLPvQAQPbcbgjiimklkmlnoohhjhwvvuqqpwnnqn,2,15,2,1,FALSE
589,s173(-4 1),3.5019951733664500,nLLLwAzAQkcdgeiihkjlmmlmhsheqenluvqpsm,Gadget and cliques,90.103,nLLLwAzAQkcdgeiihkjlmmlmhsheqenluvqpsm,2,13,2,1,FALSE
590,m199(1 3),3.5079719280462800,oLLLLLzAQQcccegjhiknmkllnnlnmgaondqrjjjrb,Vertex,3.657,oLLLLLzAQQcccegjhiknmkllnnlnmgaondqrjjjrb,2,14,2,1,FALSE
591,m345(-4 1),3.5100964543327900,nLLvLAAMQkcdifjiihklmmlmhswwncwnllmsoo,Vertex,1.33,nLLvLAAMQkcdifjiihklmmlmhswwncwnllmsoo,2,13,2,1,FALSE
592,m210(5 1),3.5103531055215900,pLALvvAMQPQbcbehjlnmjllomoohhjsvemxlqcwqjti,Vertex,0.273,oLLLALPLAQccdgfejkkmlknnnmhshqaqhghqgqofr,2,15,2,1,FALSE
593,m207(1 4),3.5137573230531200,oLvzMLzQAQcccfikjlkljmnnmnhnhwiaapmamnwvn,Vertex,537.522,nLLvLzPQQkbefkilijjmmllmxxxxghbofqqhnk,3,14,3,2,FALSE
594,m220(5 2),3.5142520583769000,oLLLzwwQMQccddghjkmkjkmnnnpkrrneupokkrexx,Vertex,6.812,oLLLzwwQMQccddghjkmkjkmnnnpkrrneupokkrexx,2,14,2,1,FALSE
595,m350(3 1),3.5142520583769000,oLLvAMPzQMcbeghhhjkllmlmnnhhhaccqailfkclj,Vertex,0.96,nLLPvMvQQkacefhjimllkmlmjkxrpxniaxtdrs,2,14,2,1,FALSE
596,s118(-2 3),3.5142520583769000,xLALvAvLAvLQQMPQcbcbehgomkppsouturtwwtvvwhxjnsrqqvhxqrdemnkqxouqn,Vertex,2.714,oLLLvwQPMQccdegijhlmlnklnnhsdjsarexmxwrhq,2,23,2,2,FALSE
597,m206(2 3),3.5142520583769000,nLLvLAAQMkcdjihhgklkklmmhsffvvnmuxalbs,Vertex,549.179,nLLvLAAQMkcdjihhgklkklmmhsffvvnmuxalbs,3,13,3,1,FALSE
598,m221(-5 2),3.5142520583769000,oLvPPLvAQQcccgehhjklmnlmnnqjaqwwhgwguobam,Vertex,12.065,oLvPPLvAQQcccgehhjklmnlmnnqjaqwwhgwguobam,2,14,2,1,FALSE
599,m349(-3 1),3.5142520583769000,nLLvQLAwQkbeghffijkmlmmlxxahhwxxhhxqxn,Cliques,488.876,nLLvQLAwQkbeghffijkmlmmlxxahhwxxhhxqxn,2,13,2,1,FALSE
600,s118(2 3),3.5142520583769000,oLLLLMLQPPccdghfjlkllmjnnnhshwwhhmqqxjhdl,Vertex,1.024,oLLLLMLQPPccdghfjlkllmjnnnhshwwhhmqqxjhdl,2,14,2,2,FALSE
601,m275(1 3),3.5165646622134300,nLvLLLQPQkcfghljikikkmlmllxoagvashpqsr,Vertex,2.952,nLvLLLQPQkcfghljikikkmlmllxoagvashpqsr,2,13,2,1,FALSE
602,m247(-4 1),3.5179114031172500,nLLLLLAQMkcdgikhjklklmlmhshsqoxidqdsbn,Vertex,0.731,nLLLLLAQMkcdgikhjklklmlmhshsqoxidqdsbn,2,13,3,1,FALSE
603,m190(5 3),3.5185941907288300,nLLLzLQzQkcdgegjijkkmllmhshdchapanhwkw,Vertex,0.408,nLLLzLQzQkcdgegjijkkmllmhshdchapanhwkw,2,13,3,1,FALSE
604,m194(-5 1),3.5194057603204000,pLLLLMvAQPQacfihjihllmnmnoonkgqhtmrrbrerhgn,Vertex,0.572,oLLPLMLLMQcacefghijmknlmmnjkxrapxpxrhbwbr,2,15,2,1,FALSE
605,m199(2 3),3.5236406410509200,oLLLLvAMQQccdgfkljlnmjmkmnhshnxdpaapiskgr,Vertex,3.591,oLLLLvAMQQccdgfkljlnmjmkmnhshnxdpaapiskgr,2,14,3,1,FALSE
606,m189(2 3),3.5236777764775600,nLLLLvPQQkacfhlhijkkjlmmnkguimmkkonkrj,Vertex,1.645,nLLLLvPQQkacfhlhijkkjlmmnkguimmkkonkrj,2,13,2,1,TRUE
607,m189(-5 3),3.5238018010448500,nLLLLLLQQkacfgjlkjkjlkmmjkgjpejckfwkkj,Vertex,2.44,nLLLLLLQQkacfgjlkjkjlkmmjkgjpejckfwkkj,2,13,2,1,TRUE
608,m232(-5 1),3.5242438456631200,oLLLALPLAQccdgfejkkmlknnnmhshqaqhgqqgqofj,Vertex,0.586,oLLLALPLAQccdgfejkkmlknnnmhshqaqhgqqgqofj,2,14,2,1,FALSE
609,m221(5 1),3.5310780488861900,oLLLAzwMPQcbefgfijjklmlnnnhhqhqhaawwkjllh,Gadget and cliques,93.506,oLLLAzwMPQcbefgfijjklmlnnnhhqhqhaawwkjllh,2,14,2,1,FALSE
610,m220(-5 1),3.5310780488861900,oLLLzzLPQQccdgehmmlnnlknkmhshivhivskjsbjr,Vertex,2.905,oLLLzzLPQQccdgehmmlnnlknkmhshivhivskjsbjr,2,14,2,1,FALSE
611,m198(-5 1),3.5335504107726600,pLLvLALAMQQacghfkkinmlmmononkjlkhgshwrsvpkw,Vertex,0.401,oLLLMvQzMQcacfggkhillnnnmmnkwwjqmbxuhtpgn,2,15,2,1,FALSE
612,m216(-2 3),3.5348734276674900,pLLPvvAQQzQacefijkimjklnononkxgvvcnavgwhxwr,Vertex,1.009,nLLLLvPQQkacfhlhijkkjlmmnkguimmkkorkwn,2,15,2,1,FALSE
613,m199(6 1),3.5349305943365200,pLLLLvMzQQQbegfhmjomknlnmooxxqxoqttarcscofg,Vertex,10.012,pLLLLvMzQQQbegfhmjomknlnmooxxqxoqttarcscofg,2,15,2,1,FALSE
614,m260(3 2),3.5351549423674900,oLLLLzALQQcbcgfjiklkmmnlnntsmgqctaiprroww,Vertex,6.756,oLLLLzALQQcbcgfjiklkmmnlnntsmgqctaiprroww,2,14,2,1,FALSE
615,m260(-3 2),3.5409154213384300,nLLvLAMMQkccihjjljmkllmmlnccnnhnqaeics,Vertex,2.227,nLLvLAMMQkccihjjljmkllmmlnccnnhnqaeics,2,13,2,0,FALSE
616,m240(-1 4),3.5433901800526200,pLLLLLAzAQQcdggjhkjklmnmonohshgiblitabnnikw,Vertex,1.026,oLLvAMvMQQcbegffhmknkmnlnmhhhignhidkocrjg,2,15,2,1,FALSE
617,m223(-1 3),3.5440817346445800,oLLLzwwQQMccdfeihijklllmnnqceqqkqaongsoqn,Vertex,1.558,nLLLMzPLQkacefgihkjklmmmnkvfjlmjfvlmvc,2,14,2,1,FALSE
618,m260(-5 1),3.5463550022886700,oLLLLPzMPQccdghjhklmjnnmmnhshjqvlhaivrgjo,Gadget and cliques,300.48,oLLLLPzMPQccdghjhklmjnnmmnhshjqvlhaivrgjo,2,14,2,1,FALSE
619,m192(-5 2),3.5504301411816600,nLLLLwMMQkbcgfgjkjmklkmmtsmgouiuqqxswf,Vertex,0.527,nLLLLwMMQkbcgfgjkjmklkmmtsmgouiuqqxswf,2,13,2,1,FALSE
620,m195(-5 3),3.5505622456754900,nLLLzPALQkcdgehgjikmkllmhshdvchaohskkw,Vertex,0.825,nLLLzPALQkcdgehgjikmkllmhshdvchaohskkw,2,13,2,1,FALSE
621,m199(-1 3),3.5515088756723700,oLLLLLMPMQccdgfhkllljmnknnhshnvxhqqtsskkw,Vertex,3.344,oLLLLLMPMQccdgfhkllljmnknnhshnvxhqqtsskkw,2,14,2,1,FALSE
622,m234(-2 3),3.5530793365075100,nLLLLvPQQkcdghjljilkjmlmhshruxdvaddfsn,Vertex,0.699,nLLLLvPQQkcdghjljilkjmlmhshruxdvaddfsn,2,13,2,2,FALSE
623,m322(-1 3),3.5563543616280900,nLLvLPMPQkcdgjghijmlllmmhsgrsojgqqlkjf,Vertex,2.793,nLLvLPMPQkcdgjghijmlllmmhsgrsojgqqlkjf,2,13,3,1,FALSE
624,m302(4 1),3.5570250643500900,oLLvLAzAQQccdiijllhjkkmnnnhsrsrqdngauwgjn,Vertex,1.366,nLLLALMPAkbefgfihjlkklmmhhmhiagewkvblj,2,14,2,1,FALSE
625,m195(2 3),3.5582406324191300,pLLLLMLPAQPcdgihhhlmmlklnoohshcsvclacnnnuqj,Vertex,0.877,oLLLMvzMQQcacfgghjjnllnmmnjkwwjmoshkwpmxb,2,15,2,1,FALSE
